gesture_id,display_name,sample_id,frames,duration,selected_finger_pair,selected_distance_start,selected_distance_end,selected_distance_delta,selected_distance_path,selected_peak_velocity,selected_oscillations,thumb_index_delta,thumb_middle_delta,palm_net_distance,palm_path_length,finger_to_palm_path_ratio
ext_motion_right_right_medium,右划-右手-中速：右手张掌，向右平移一段距离,131796,8,0.4667,4-8,0.3029,0.0718,-0.231,0.2497,3.5843,3,-0.231,-0.265,0.2777,0.2945,0.8478
ext_motion_right_right_short,右划-右手-短：右手张掌，快速向右划一下,86912,12,0.7333,4-8,0.0223,0.0525,0.0302,0.9427,5.4249,1,0.0302,0.032,0.1591,0.6788,1.3886
ext_motion_right_right_short,右划-右手-短：右手张掌，快速向右划一下,25540,12,0.7333,4-8,0.0359,0.1932,0.1573,0.7509,4.3787,9,0.1573,0.1486,0.1085,0.8827,0.8507
ext_motion_up_left_medium,上滑-左手-中速：左手张掌，从画面下方向上方划动,19137,5,0.2667,4-8,0.1929,0.0218,-0.1711,0.3706,1.9448,2,-0.1711,-0.168,0.3066,0.6278,0.5903
ext_motion_up_left_medium,上滑-左手-中速：左手张掌，从画面下方向上方划动,64528,8,0.4667,4-8,0.058,0.0277,-0.0302,0.2007,1.6908,3,-0.0302,-0.0366,0.2421,0.3658,0.5486
ext_motion_up_right_long,上滑-右手-长：右手张掌，从画面下方向上方划长距离,46783,8,0.4667,4-8,0.0791,0.1039,0.0248,0.5402,3.5566,3,0.0248,0.0227,0.1589,0.6089,0.8872
ext_motion_up_right_long,上滑-右手-长：右手张掌，从画面下方向上方划长距离,121112,10,0.6,4-8,0.2578,0.1192,-0.1386,0.4697,1.9513,4,-0.1386,-0.1486,0.7254,1.9432,0.2417
ext_motion_up_right_medium,上滑-右手-中速：右手张掌，向上平移一段距离,28452,13,0.8,4-8,0.2467,0.1638,-0.0829,0.4103,2.3685,7,-0.0829,-0.087,0.3345,0.4838,0.8482
ext_motion_up_right_medium,上滑-右手-中速：右手张掌，向上平移一段距离,75709,10,0.6,4-8,0.0906,0.2223,0.1316,0.8762,3.3674,2,0.1316,0.0982,0.2993,0.7272,1.2049
ext_motion_up_right_short,上滑-右手-短：右手张掌，快速向上划一下,123476,15,0.9333,4-8,0.1503,0.059,-0.0912,1.5751,3.7184,6,-0.0912,-0.0496,0.1771,0.5161,3.0517
ext_motion_up_right_short,上滑-右手-短：右手张掌，快速向上划一下,132455,13,0.8,4-8,0.1609,0.3326,0.1716,1.1632,3.6117,6,0.1716,0.0532,0.2038,0.9116,1.276
ext_two_finger_spread_easy,双指外滑放大：拇指和食指从并拢到张开,two_finger_spread_train_a,10,0.3,4-8,0.114,0.2846,0.1706,0.1706,0.6296,0,0.1706,0.0792,0.0,0.0273,6.2521
ext_two_finger_spread_easy,双指外滑放大：拇指和食指从并拢到张开,two_finger_spread_train_b,10,0.3,4-8,0.114,0.2846,0.1706,0.1706,0.6296,0,0.1706,0.0792,0.0,0.0273,6.2521
